nome,email,empresa,segmento,porte
"MAGNO SILVA","verticecontabilidade@ig.com.br","MAGNO SILVA","Restaurante","ME/MEI"
"C. ALVES BARBOSA COMERCIO DE ALIMENTOS","riglias.contabilidade@gmail.com","C. ALVES BARBOSA COMERCIO DE ALIMENTOS","Restaurante","ME/MEI"
"ASA BRANCA PIZZARIA LTDA","contato@bcocontabil.com.br","ASA BRANCA PIZZARIA LTDA","Restaurante","ME/MEI"
"LUMA CLINICA MEDICA E MEDICINA DO TRABALHO S/S","roac@roac.com.br","LUMA CLINICA MEDICA E MEDICINA DO TRABALHO S/S","Clinica","ME/MEI"
"E R DOS SANTOS BAR E RESTAURANTE","leogordinha@globo.com","E R DOS SANTOS BAR E RESTAURANTE","Restaurante","ME/MEI"
"LANCHONETE FLOR DA JUVENTUDE LTDA","zontabittar.adm@gmail.com","LANCHONETE FLOR DA JUVENTUDE LTDA","Restaurante","EPP"
"MATUDA OUKI COMERCIAL LTDA","fiscal@contabilmodelar.com.br","MATUDA OUKI COMERCIAL LTDA","Restaurante","EPP"
"ANTONIO LOPES SERVICOS MEDICOS LTDA","newservice@newservice.com.br","ANTONIO LOPES SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"NEUROLAB - LABORATORIO DE NEUROFISIOLOGIA CLINICA LTDA","silvanemirandez@uol.com.br","NEUROLAB - LABORATORIO DE NEUROFISIOLOGIA CLINICA LTDA","Clinica","ME/MEI"
"VATTIMO MEDICOS ASSOCIADOS LTDA","societario@aspercontabilidade.com.br","VATTIMO MEDICOS ASSOCIADOS LTDA","Clinica","ME/MEI"
"PONCE E PROGLHOF SERVICOS MEDICOS LTDA","jproglhof@hotmail.com","PONCE E PROGLHOF SERVICOS MEDICOS LTDA","Clinica","EPP"
"GAIA SERVICOS MEDICOS LTDA","ndea@uol.com.br","GAIA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"BIKINHO LANCHES E REFEICOES LTDA","jercontabil@yahoo.com.br","BIKINHO LANCHES E REFEICOES LTDA","Restaurante","ME/MEI"
"MORUMBI GRILL E LANCHES LTDA","rpublicas@sc9-consultoria.com.br","MORUMBI GRILL E LANCHES LTDA","Restaurante","EPP"
"PIZZARIA FABIA LTDA","acinetemaria@hotmail.com","PIZZARIA FABIA LTDA","Restaurante","ME/MEI"
"KATANA LANCHONETE LTDA","rubens@tunes.com.br","KATANA LANCHONETE LTDA","Restaurante","EPP"
"MONDELLO COMERCIAL LTDA","marcellovassallo@hotmail.com","MONDELLO COMERCIAL LTDA","Restaurante","ME/MEI"
"CENTRO ORTOPEDICO SANTA MARIA LTDA","cosm@cosm.com.br","CENTRO ORTOPEDICO SANTA MARIA LTDA","Clinica","EPP"
"BIOSOM - SERVICOS MEDICOS S/S LTDA","manducont@manducont.com.br","BIOSOM - SERVICOS MEDICOS S/S LTDA","Clinica","EPP"
"CLINICA DE DESENVOLVIMENTO ESPECIALIZADA LTDA.","clinicacde@uol.com.br","CLINICA DE DESENVOLVIMENTO ESPECIALIZADA LTDA.","Clinica","ME/MEI"
"RESTAURANTE TOMODATI LTDA","marines.const12@gmail.com","RESTAURANTE TOMODATI LTDA","Restaurante","ME/MEI"
"BETO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","beto@arabesco.com.br","BETO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","Restaurante","EPP"
"LA MANDUCA RESTAURANTE E PIZZARIA LTDA","restaurantelamanduca@yahoo.com.br","LA MANDUCA RESTAURANTE E PIZZARIA LTDA","Restaurante","ME/MEI"
"DMC RESTAURANTE COMERCIO DE ALIMENTOS LTDA","fiscal@saolucasassessoria.com.br","DMC RESTAURANTE COMERCIO DE ALIMENTOS LTDA","Restaurante","EPP"
"DOM BACELAR ALIMENTOS LTDA","delio.bautz@terra.com.br","DOM BACELAR ALIMENTOS LTDA","Restaurante","ME/MEI"
"ANDRE KHALIL KHOURI REFEICOES","andre277@uol.com.br","ANDRE KHALIL KHOURI REFEICOES","Restaurante","EPP"
"BEDCLIN SERVICOS MEDICOS E DIAGNOSE LTDA","legalizacao@mastercontabilsp.com.br","BEDCLIN SERVICOS MEDICOS E DIAGNOSE LTDA","Clinica","EPP"
"AMOARAS COMERCIO DE ALIMENTOS LTDA","revicont@revicont.com.br","AMOARAS COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"RJAA RESTAURANTE E PIZZARIA LTDA","mayara.monreal@gmail.com","RJAA RESTAURANTE E PIZZARIA LTDA","Restaurante","ME/MEI"
"CLINICA HADDAD SERVICOS MEDICOS ESPECIALIZADOS LTDA.","dradaniellihaddad@gmail.com","CLINICA HADDAD SERVICOS MEDICOS ESPECIALIZADOS LTDA.","Clinica","ME/MEI"
"CENTRO PAULISTA DE NEUROCIRURGIA LTDA","cpnc@uol.com.br","CENTRO PAULISTA DE NEUROCIRURGIA LTDA","Clinica","ME/MEI"
"LANCHONETE DONALDU'S LTDA","edvangersonaraujo@gmail.com","LANCHONETE DONALDU'S LTDA","Restaurante","ME/MEI"
"EQUIPE CIRURGICA CARDIOVASCULAR POMERANTZEFF - BRANDAO LTDA","saodomingo@saodomingo.com.br","EQUIPE CIRURGICA CARDIOVASCULAR POMERANTZEFF - BRANDAO LTDA","Clinica","EPP"
"CLINICA DE OLHOS NOVA VISAO S/S LTDA","leonardo_d_mendonca@hotmail.com","CLINICA DE OLHOS NOVA VISAO S/S LTDA","Clinica","ME/MEI"
"RESTAURANTE SVANEN SCANDINAVIAN FOOD LTDA.","vera_restaurantes@hotmail.com","RESTAURANTE SVANEN SCANDINAVIAN FOOD LTDA.","Restaurante","ME/MEI"
"PLANETA CRIANCA BUFFET INFANTIL LTDA","legal@kemelcontabil.com.br","PLANETA CRIANCA BUFFET INFANTIL LTDA","Restaurante","ME/MEI"
"AFONSO CELSO PINTO NAZARIO GINECOLOGIA E MASTOLOGIA S/S LTDA","comercial2@grupoagl.com.br","AFONSO CELSO PINTO NAZARIO GINECOLOGIA E MASTOLOGIA S/S LTDA","Clinica","ME/MEI"
"MAGARA - ASSISTENCIA E AUDITORIA MEDICA LTDA","daniel@contabilidademedica.com","MAGARA - ASSISTENCIA E AUDITORIA MEDICA LTDA","Clinica","ME/MEI"
"LEGITIMO LANCHES E RESTAURANTE LTDA","fiscal@baggiocontabil.com.br","LEGITIMO LANCHES E RESTAURANTE LTDA","Restaurante","ME/MEI"
"STEFANELLI CIRURGIA PLASTICA LTDA","crstefa@hotmail.com","STEFANELLI CIRURGIA PLASTICA LTDA","Clinica","ME/MEI"
"DNF - CLINICA E PESQUISA LTDA.","dnfclinica@terra.com.br","DNF - CLINICA E PESQUISA LTDA.","Clinica","EPP"
"MAFEL ASSISTENCIA NEFROLOGICA SOCIEDADE SIMPLES","cristianelopes@bonomi.com.br","MAFEL ASSISTENCIA NEFROLOGICA SOCIEDADE SIMPLES","Clinica","EPP"
"CLINICA ZOPPI LTDA","contato@nardinicontabeis.com.br","CLINICA ZOPPI LTDA","Clinica","EPP"
"ARNALDO BUENO JUNIOR RESTAURANTE","rangelcontabil@gmail.com","ARNALDO BUENO JUNIOR RESTAURANTE","Restaurante","ME/MEI"
"PIZZABAR FRATELLI LTDA","azulcontabil.processos@hotmail.com","PIZZABAR FRATELLI LTDA","Restaurante","ME/MEI"
"COMERCIAL NATHAFS LTDA","douglas@minucioconsultoria.com.br","COMERCIAL NATHAFS LTDA","Restaurante","ME/MEI"
"ORTOFIT INSTITUTO DE ORTOPEDIA, FISIOTERAPIA E TRAUMATOLOGIA LTDA","ortofit@ortofit.com.br","ORTOFIT INSTITUTO DE ORTOPEDIA, FISIOTERAPIA E TRAUMATOLOGIA LTDA","Clinica","EPP"
"BAR E LANCHES RIACHO DE AREIA LTDA","contabfortaleza@uol.com.br","BAR E LANCHES RIACHO DE AREIA LTDA","Restaurante","ME/MEI"
"LANCHONETE CASEIRAO LTDA","glj.cont@terra.com.br","LANCHONETE CASEIRAO LTDA","Restaurante","ME/MEI"
"LANCHONETE IRMAOS CARLOS LIMITADA","nobre.contabil@terra.com.br","LANCHONETE IRMAOS CARLOS LIMITADA","Restaurante","ME/MEI"
"MARIA CIENE REGO DE SOUSA BAR","sousa-celso@terra.com","MARIA CIENE REGO DE SOUSA BAR","Restaurante","ME/MEI"
"LANCHONETE NOVA CANTAREIRA LTDA","rodrygues123@hotmail.com","LANCHONETE NOVA CANTAREIRA LTDA","Restaurante","ME/MEI"
"RUBENS FRANCISCO DA COSTA JUNIOR","cntcontabil@bol.com.br","RUBENS FRANCISCO DA COSTA JUNIOR","Restaurante","ME/MEI"
"CONSUMED - RIAD ARABI CONSULTORIO MEDICO LTDA","riad.consumed@globo.com","CONSUMED - RIAD ARABI CONSULTORIO MEDICO LTDA","Clinica","EPP"
"DNA OFTALMOLOGIA S/S","nlcontabil@terra.com.br","DNA OFTALMOLOGIA S/S","Clinica","EPP"
"SALGADOS FESTE LANCHES LTDA","marconi.cont@uol.com.br","SALGADOS FESTE LANCHES LTDA","Restaurante","ME/MEI"
"JV NEUROFISIOLOGIA E NEUROLOGIA SOCIEDADE SIMPLES PURA","carmenlj@uol.com.br","JV NEUROFISIOLOGIA E NEUROLOGIA SOCIEDADE SIMPLES PURA","Clinica","EPP"
"ATDP SAUDE - ASSISTENCIA MEDICA LTDA.","aldolad@hotmail.com","ATDP SAUDE - ASSISTENCIA MEDICA LTDA.","Clinica","EPP"
"JOSE FERNANDO OLIVEIRA LOPES & CIA LTDA","ocsp@ocsp.com.br","JOSE FERNANDO OLIVEIRA LOPES & CIA LTDA","Restaurante","ME/MEI"
"BAR E CAFE INDU LTDA","cayro@terra.com.br","BAR E CAFE INDU LTDA","Restaurante","ME/MEI"
"AGA RESTAURANTE E PIZZARIA LTDA","aga@aga.com.br","AGA RESTAURANTE E PIZZARIA LTDA","Restaurante","ME/MEI"
"LUIZ BRAGA DE SOUSA","laurindocontabil@terra.com.br","LUIZ BRAGA DE SOUSA","Restaurante","ME/MEI"
"CLINICA PEDIATRICA COJI KIMATI S/C LTDA","mantrhax@hotmail.com","CLINICA PEDIATRICA COJI KIMATI S/C LTDA","Clinica","ME/MEI"
"BAR E LANCHES 31 LTDA","elianeaparecidadiassantos@gmail.com","BAR E LANCHES 31 LTDA","Restaurante","ME/MEI"
"SUSHI MAKER LTDA","iomar-jesus@bol.com.br","SUSHI MAKER LTDA","Restaurante","ME/MEI"
"BAR E LANCHES CISNE LTDA","mfalmeidasantos@mfalmeidasantos.com.br","BAR E LANCHES CISNE LTDA","Restaurante","ME/MEI"
"SERVICO DE MEDICINA DO TRABALHO RIGHI & RIGHI LTDA","juridico@righirighi.com.br","SERVICO DE MEDICINA DO TRABALHO RIGHI & RIGHI LTDA","Clinica","EPP"
"ENGUEDE - LANCHONETE E ROTISSERIE LTDA","fabiene@ligueesfihakalik.com.br","ENGUEDE - LANCHONETE E ROTISSERIE LTDA","Restaurante","ME/MEI"
"LANCHES COBRAO LTDA","mnguara@pop.com.br","LANCHES COBRAO LTDA","Restaurante","ME/MEI"
"DOG STATION LANCHES LTDA","marianomolina.13@hotmail.com","DOG STATION LANCHES LTDA","Restaurante","ME/MEI"
"LANCHES BEN HUR LTDA","rangelcontabil@gmail.com","LANCHES BEN HUR LTDA","Restaurante","EPP"
"HEITOR COMERCIO DE ALIMENTOS LTDA","agility@agilityassessoria.com.br","HEITOR COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"BAR E LANCHES AZEN LTDA","tony.souza2309@gmail.com","BAR E LANCHES AZEN LTDA","Restaurante","ME/MEI"
"CIVIDANES SERVICOS MEDICOS SOCIEDADE SIMPLES LIMITADA","rtf6@terra.com.br","CIVIDANES SERVICOS MEDICOS SOCIEDADE SIMPLES LIMITADA","Clinica","EPP"
"ROSANA MONETTA CONTE - PIZZARIA","esca@esca.com.br","ROSANA MONETTA CONTE - PIZZARIA","Restaurante","EPP"
"DR. GUSTAVO PROTTI NEUROLOGIA CLINICA S/S","juliana.almeida@apisassociados.com.br","DR. GUSTAVO PROTTI NEUROLOGIA CLINICA S/S","Clinica","EPP"
"BAR E LANCHES LAPA DE BAIXO LTDA","pontualcontabil1@hotmail.com","BAR E LANCHES LAPA DE BAIXO LTDA","Restaurante","ME/MEI"
"BAR E CAFE TAPA O BICO LTDA","yosefsaraiva@gmail.com","BAR E CAFE TAPA O BICO LTDA","Restaurante","EPP"
"MORAIS E VELLONI SERVICOS MEDICOS SOCIEDADE SIMPLES LTDA.","contabilidadeokuma@terra.com.br","MORAIS E VELLONI SERVICOS MEDICOS SOCIEDADE SIMPLES LTDA.","Clinica","ME/MEI"
"BAR E LANCHES RECANTO DA MINHA DEUSA LTDA","r35f@uol.com.br","BAR E LANCHES RECANTO DA MINHA DEUSA LTDA","Restaurante","ME/MEI"
"PASTELARIA CLUB DO PASTEL LTDA","beto_dib@ig.com.br","PASTELARIA CLUB DO PASTEL LTDA","Restaurante","ME/MEI"
"J. SILVA FREITAS LTDA","minasgrill28@gmail.com","J. SILVA FREITAS LTDA","Restaurante","ME/MEI"
"HIROTA - SERVICOS MEDICOS LTDA","hirota.serv@bol.com.br","HIROTA - SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"LANCHES LAGO VERDE LTDA","lanchelargoverde@yahoo.com.br","LANCHES LAGO VERDE LTDA","Restaurante","ME/MEI"
"BAR E LANCHES CAPILE LTDA","jorgeduardo.meloo@gmail.com","BAR E LANCHES CAPILE LTDA","Restaurante","ME/MEI"
"BAR E LANCHES FUFUCA LTDA","advcguimaraes@uol.com.br","BAR E LANCHES FUFUCA LTDA","Restaurante","ME/MEI"
"BAR E LANCHES CERV INDO LTDA","jmr@jmrcontabil.com.br","BAR E LANCHES CERV INDO LTDA","Restaurante","ME/MEI"
"BAR E LANCHES WISARD LTDA","bardoalonsoramones@gmail.com","BAR E LANCHES WISARD LTDA","Restaurante","ME/MEI"
"RESTAURANTE GRANJA NOVA LTDA","dudussantana@hotmail.com","RESTAURANTE GRANJA NOVA LTDA","Restaurante","ME/MEI"
"DMB SERVICOS MEDICOS SS LTDA","contato@ocana.com.br","DMB SERVICOS MEDICOS SS LTDA","Clinica","ME/MEI"
"BAR E EMPORIO CANARIO LTDA","srcontabilidade@ig.com.br","BAR E EMPORIO CANARIO LTDA","Restaurante","ME/MEI"
"LANCHONETE REHEM DOIS LTDA","jmr@jmrcontabil.com.br","LANCHONETE REHEM DOIS LTDA","Restaurante","ME/MEI"
"CADILLAC BARBECUE RESTAURANTE E BAR LTDA","cadillacbbq@gmail.com","CADILLAC BARBECUE RESTAURANTE E BAR LTDA","Restaurante","EPP"
"GASTRO CLINICA PAULISTA LTDA","krjw@uol.com.br","GASTRO CLINICA PAULISTA LTDA","Clinica","ME/MEI"
"BAR E LANCHES UNIDOS DA LIBERDADE LTDA","jj.contabilidade@yahoo.com.br","BAR E LANCHES UNIDOS DA LIBERDADE LTDA","Restaurante","ME/MEI"
"ANDRADE SERVICOS MEDICOS S/S LTDA","tecnodoc@tecnodoc.com.br","ANDRADE SERVICOS MEDICOS S/S LTDA","Clinica","EPP"
"FORNALHA RESTAURANTE IMPORTACAO E COMERCIO DE COMESTIVEIS E BEBIDAS LTDA","pradocosta@globo.com","FORNALHA RESTAURANTE IMPORTACAO E COMERCIO DE COMESTIVEIS E BEBIDAS LTDA","Restaurante","EPP"
"AEROPIZZA RESTAURANTE E PIZZARIA LTDA","luiz@brukus.com.br","AEROPIZZA RESTAURANTE E PIZZARIA LTDA","Restaurante","ME/MEI"
"BAR RESTAURANTE E PIZZARIA POPEYE LTDA","popeyebff@gmail.com","BAR RESTAURANTE E PIZZARIA POPEYE LTDA","Restaurante","ME/MEI"
"RESTAURANTE, ROTISSERIE E LANCHONETE ALEGRE LTDA","romulo_marinho@globo.com","RESTAURANTE, ROTISSERIE E LANCHONETE ALEGRE LTDA","Restaurante","ME/MEI"
"BAR E LANCHES HUMAITA LTDA","humaita96@gmail.com","BAR E LANCHES HUMAITA LTDA","Restaurante","ME/MEI"
"LANCHONETE VALADARES LTDA","nova.vitoria@gmail.com","LANCHONETE VALADARES LTDA","Restaurante","EPP"
"BAR E LANCHES PASSO DA REGUA LTDA","andrade.checolin@terra.com.br","BAR E LANCHES PASSO DA REGUA LTDA","Restaurante","ME/MEI"
"DOCE E SALGADOS SARA LTDA","contato@wmcontabilidade.com","DOCE E SALGADOS SARA LTDA","Restaurante","ME/MEI"
"LANCHONETE DICA LTDA","mantero@uol.com.br","LANCHONETE DICA LTDA","Restaurante","ME/MEI"
"B W BAR E LANCHES LTDA","p_hcc@hotmail.com","B W BAR E LANCHES LTDA","Restaurante","EPP"
"CLINICA PAULISTA DE ALERGIA LTDA","clinica@clinicapaulistadealergia.com.br","CLINICA PAULISTA DE ALERGIA LTDA","Clinica","EPP"
"NONNAMARIA DOCES E SALGADOS LTDA","contato@contabilidadeunicont.com.br","NONNAMARIA DOCES E SALGADOS LTDA","Restaurante","ME/MEI"
"PAPA PIZZA COMERCIO DE ALIMENTOS LTDA","hauschildr@gmail.com","PAPA PIZZA COMERCIO DE ALIMENTOS LTDA","Restaurante","ME/MEI"
"GELATERIA ITALIA LTDA","contale@netway.com.br","GELATERIA ITALIA LTDA","Restaurante","ME/MEI"
"CLINICA LONGEVITAH SERVICOS MEDICOS S/S","tmagal@terra.com.br","CLINICA LONGEVITAH SERVICOS MEDICOS S/S","Clinica","ME/MEI"
"DANILO S CAFE E LANCHES LTDA","mguerr@uol.com.br","DANILO S CAFE E LANCHES LTDA","Restaurante","ME/MEI"
"ONODERA E MURATA SERVICOS MEDICOS LTDA","deonodera@hotmail.com","ONODERA E MURATA SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"BRUMED SERVICOS MEDICOS LTDA","brumedsp@gmail.com","BRUMED SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"BRAVUS BAR E MERCEARIA LTDA","gonzagawilson@yahoo.com.br","BRAVUS BAR E MERCEARIA LTDA","Restaurante","ME/MEI"
"LANCHONETE COPAO PAULISTA LTDA","nova.vitoria@gmail.com","LANCHONETE COPAO PAULISTA LTDA","Restaurante","ME/MEI"
"67.052.696 JUCELINA BERTOLIN DE SOUZA","priscont@uol.com.br","67.052.696 JUCELINA BERTOLIN DE SOUZA","Restaurante","ME/MEI"
"SAO SAO PAULO CENTER TERMAS E DRINKS LTDA","asselfis@asselfis.com.br","SAO SAO PAULO CENTER TERMAS E DRINKS LTDA","Restaurante","ME/MEI"
"CASA DE LANCHES RAINHA DA CUPECE LTDA","moacir@provisaocontabil.com.br","CASA DE LANCHES RAINHA DA CUPECE LTDA","Restaurante","ME/MEI"
"RESTAURANTE KAZUKI SUSHI LTDA","comercial@gueveron.com","RESTAURANTE KAZUKI SUSHI LTDA","Restaurante","ME/MEI"
"BAMBORE BAR LTDA","rhshima@hotmail.com","BAMBORE BAR LTDA","Restaurante","ME/MEI"
"HOLLY'S PIZZARIA E LANCHONETE LTDA","contato@hollys.com.br","HOLLY'S PIZZARIA E LANCHONETE LTDA","Restaurante","ME/MEI"
"BAR E LANCHES SERRA NEVADA LTDA","contabil.elite@terra.com.br","BAR E LANCHES SERRA NEVADA LTDA","Restaurante","ME/MEI"
"MON CHERRY AVICOLA LTDA.","pafrene@terra.com.br","MON CHERRY AVICOLA LTDA.","Restaurante","ME/MEI"
"CHARME DA CACHOEIRINHA BAR E CAFE LTDA","charmedacachoeirinha@gmail.com","CHARME DA CACHOEIRINHA BAR E CAFE LTDA","Restaurante","ME/MEI"
"ASSISTENCIA OFTALMOLOGICA DR. RUBENS PLAPLER LTDA","legalizacao@portecontabil.com.br","ASSISTENCIA OFTALMOLOGICA DR. RUBENS PLAPLER LTDA","Clinica","ME/MEI"
"ATSUSHI KOGA LTDA","comercial@contaltec.com","ATSUSHI KOGA LTDA","Restaurante","ME/MEI"
"CARDIOSAUDE SERVICOS MEDICOS LTDA","doutor.elia.ascer@gmail.com","CARDIOSAUDE SERVICOS MEDICOS LTDA","Clinica","EPP"
"CMU-CENTRO MEDICO UROLOGICO SS","cmuurologia@terra.com.br","CMU-CENTRO MEDICO UROLOGICO SS","Clinica","EPP"
"BIMI SERVICOS COMERCIO E ADMINISTRACAO LTDA","brasnippon@brasnippon.com.br","BIMI SERVICOS COMERCIO E ADMINISTRACAO LTDA","Restaurante","ME/MEI"
"JOSE MOTA DE GOIS","camila_gois@yahoo.com.br","JOSE MOTA DE GOIS","Restaurante","ME/MEI"
"LANCHONETE E RESTAURANTE MARIA DA PAZ LTDA","barelanchesrealeza@gmail.com","LANCHONETE E RESTAURANTE MARIA DA PAZ LTDA","Restaurante","ME/MEI"
"OFTALMOMED CLINICA DE OLHOS LTDA","adm@clinicaoftalmomed.com.br","OFTALMOMED CLINICA DE OLHOS LTDA","Clinica","EPP"
"INFECTO CONSULTORIO MEDICO","augusto@nkcontabil.com.br","INFECTO CONSULTORIO MEDICO","Clinica","EPP"
"CUCE MEDICOS ASSOCIADOS LTDA","adm@vitalmax.com.br","CUCE MEDICOS ASSOCIADOS LTDA","Clinica","ME/MEI"
"BAR E LANCHES PSA LTDA","legal@consultoriacontabil.com.br","BAR E LANCHES PSA LTDA","Restaurante","ME/MEI"
"MARIA ODETE DOS REIS CURIGLIANO","ademir.curigliano@terra.com","MARIA ODETE DOS REIS CURIGLIANO","Restaurante","ME/MEI"
"LHM RESTAURANTE LTDA","contato@lovinghutsaopaulo.com.br","LHM RESTAURANTE LTDA","Restaurante","ME/MEI"
"MARQUES, MONTESANTI, MILANI, POPOUTCHI - SERVICOS MEDICOS S/S LTDA","oswaldowiliam@terra.com.br","MARQUES, MONTESANTI, MILANI, POPOUTCHI - SERVICOS MEDICOS S/S LTDA","Clinica","EPP"
"07.454.140 CARLOS JOSE DA SILVA","cjs6331@gmail.com","07.454.140 CARLOS JOSE DA SILVA","Restaurante","ME/MEI"
"CLEARANCE NEFROLOGIA E DIALISE S/S","clearance3131@gmail.com","CLEARANCE NEFROLOGIA E DIALISE S/S","Clinica","EPP"
"GPAC SERVICOS MEDICOS LTDA","comercial@metamedicall.com.br","GPAC SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"CLINICA OREL LTDA","kabosam@hotmail.com","CLINICA OREL LTDA","Clinica","ME/MEI"
"IPSO - INSTITUTO DE PROMOCAO DA SAUDE OCULAR LTDA","oftalmo.ricardo@gmail.com","IPSO - INSTITUTO DE PROMOCAO DA SAUDE OCULAR LTDA","Clinica","ME/MEI"
"A.A. SERVICOS MEDICOS S/S","senel@senel.com.br","A.A. SERVICOS MEDICOS S/S","Clinica","ME/MEI"
"BASILE E GARMS SERVICOS MEDICOS LTDA","contato@emersongarms.com.br","BASILE E GARMS SERVICOS MEDICOS LTDA","Clinica","EPP"
"LANCHONETE REHEM TRES LTDA","jmr@jmrcontabil.com.br","LANCHONETE REHEM TRES LTDA","Restaurante","ME/MEI"
"RESTAURANTE MARABARBA LTDA","costelariapedrakent@ig.com.br","RESTAURANTE MARABARBA LTDA","Restaurante","ME/MEI"
"CLINICA MEDICA VILA MATILDE LTDA.","clinicavilamatilde@gmail.com","CLINICA MEDICA VILA MATILDE LTDA.","Clinica","EPP"
"CASA DO NORTE PICA PAU BAR E EMPORIO LTDA","wcpcont@terra.com.br","CASA DO NORTE PICA PAU BAR E EMPORIO LTDA","Restaurante","ME/MEI"
"SILVANA GOMES BEZERRA FERREIRA","jksantos@terra.com.br","SILVANA GOMES BEZERRA FERREIRA","Restaurante","ME/MEI"
"GRUPO DE CIRURGIA DE TIREOIDE, CABECA E PESCOCO LTDA.","acbapt@uol.com.br","GRUPO DE CIRURGIA DE TIREOIDE, CABECA E PESCOCO LTDA.","Clinica","EPP"
"V.O.R. SERVICOS MEDICOS S/S LTDA","opcaocont@uol.com.br","V.O.R. SERVICOS MEDICOS S/S LTDA","Clinica","ME/MEI"
"W.K.LEE - RESTAURANTE","krkp002@gmail.com","W.K.LEE - RESTAURANTE","Restaurante","ME/MEI"
"GISELE DE CAMPOS","fator_contabil@terra.com.br","GISELE DE CAMPOS","Clinica","ME/MEI"
"NERY & MASSEO SERVICOS MEDICOS LTDA.","juniorcontase@uol.com.br","NERY & MASSEO SERVICOS MEDICOS LTDA.","Clinica","EPP"
"DOCERIA KIKO LIMA LTDA","kikolima@gmail.com","DOCERIA KIKO LIMA LTDA","Restaurante","ME/MEI"
"RESTAURANTE MARTIN FIERRO LTDA","diretoria@contabilvisao.com.br","RESTAURANTE MARTIN FIERRO LTDA","Restaurante","EPP"
"ORION LANCHONETE LTDA.","brazcontabil@brazcontabil.com.br","ORION LANCHONETE LTDA.","Restaurante","ME/MEI"
"CELIA SAMPAIO COSTA","legal@contabilsaomartinho.com.br","CELIA SAMPAIO COSTA","Clinica","ME/MEI"
"SAMELA BAR E RESTAURANTE LTDA","contcamargonovo@uol.com.br","SAMELA BAR E RESTAURANTE LTDA","Restaurante","ME/MEI"
"BAR E LANCHES EPANINA LTDA","fiscose@fiscose.com.br","BAR E LANCHES EPANINA LTDA","Restaurante","ME/MEI"
"RESTAURANTE E LANCHONETE E & D LTDA","comercial@oliveiratelles.com.br","RESTAURANTE E LANCHONETE E & D LTDA","Restaurante","ME/MEI"
"CLINICA CARDIOLOGICA VALDIGEM & CARNEIRO LTDA","legalizacao@mastercontabilsp.com.br","CLINICA CARDIOLOGICA VALDIGEM & CARNEIRO LTDA","Clinica","ME/MEI"
"FUNDAMENTO - SOCIEDADE DE PROFISSIONAIS MEDICOS LTDA.","roberto@fundamento.com.br","FUNDAMENTO - SOCIEDADE DE PROFISSIONAIS MEDICOS LTDA.","Clinica","ME/MEI"
"COLUCO SERVICOS DE ASSISTENCIA MEDICA OCUPACIONAL LTDA","assadconsultoria@uol.com.br","COLUCO SERVICOS DE ASSISTENCIA MEDICA OCUPACIONAL LTDA","Clinica","ME/MEI"
"LUMA'S CAFE LTDA","lumas.cafe@hotmail.com","LUMA'S CAFE LTDA","Restaurante","ME/MEI"
"FAC MED SERVICOS MEDICOS LTDA","sonocare.fernanda@gmail.com","FAC MED SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"FRANCISCO DE A. BATISTA BAR E RESTAURANTE","reinoal@hotmail.com","FRANCISCO DE A. BATISTA BAR E RESTAURANTE","Restaurante","ME/MEI"
"GELATO DE FATO LTDA","izidrojulio@gmail.com","GELATO DE FATO LTDA","Restaurante","EPP"
"B & M SERVICOS MEDICOS S/S","bem.empresa@gmail.com","B & M SERVICOS MEDICOS S/S","Clinica","ME/MEI"
"RESTAURANTE KI-TUDO LTDA","tamarbmanso@ig.com.br","RESTAURANTE KI-TUDO LTDA","Restaurante","ME/MEI"
"JOSE MARIA MARTINS BAR","conexao061@hotmail.com","JOSE MARIA MARTINS BAR","Restaurante","ME/MEI"
"R.Y. TAGUTI ALIMENTOS","contabs@contabs.com.br","R.Y. TAGUTI ALIMENTOS","Restaurante","ME/MEI"
"KARDOSH CLINICA VASCULAR LTDA","jbariani@terra.com.br","KARDOSH CLINICA VASCULAR LTDA","Clinica","ME/MEI"
"CLINEN S. S. SERVICOS MEDICOS LTDA","clinenservmedicos@gmail.com","CLINEN S. S. SERVICOS MEDICOS LTDA","Clinica","ME/MEI"
"DENIGRIZ SAUDE DA MULHER S/S LTDA","dgrizante@uol.com.br","DENIGRIZ SAUDE DA MULHER S/S LTDA","Clinica","ME/MEI"
"T & F SALITURE SERVICOS MEDICOS S/S","fsaliture@hotmail.com","T & F SALITURE SERVICOS MEDICOS S/S","Clinica","ME/MEI"
"CLINICA MEDICA SAO RAFAEL S/S","camila_villanacc@uol.com.br","CLINICA MEDICA SAO RAFAEL S/S","Clinica","ME/MEI"
